!
! ASCII generated by Digitized Shape Editor/CATIA
!
! Without Scans
! Point Format           = 'X %f Y %f Z %f'
!
! Total number of points = 36322
!
X -26.757420 Y 18.616930 Z -26.144850
X -26.697479 Y 18.626360 Z -26.205999
X -26.637501 Y 18.636101 Z -26.267050
X -26.577450 Y 18.645990 Z -26.327999
X -26.517309 Y 18.656010 Z -26.388849
X -26.457100 Y 18.666161 Z -26.449579
X -26.396799 Y 18.676460 Z -26.510210
X -26.336420 Y 18.686880 Z -26.570721
X -26.275961 Y 18.697439 Z -26.631121
X -26.215410 Y 18.708130 Z -26.691410
X -26.154779 Y 18.718960 Z -26.751579
X -26.094061 Y 18.729919 Z -26.811640
X -26.033251 Y 18.741020 Z -26.871580
X -25.972349 Y 18.752239 Z -26.931410
X -25.911360 Y 18.763599 Z -26.991110
X -25.850290 Y 18.775089 Z -27.050690
X -25.789110 Y 18.786720 Z -27.110161
X -25.727850 Y 18.798460 Z -27.169491
X -25.666491 Y 18.810350 Z -27.228710
X -25.605030 Y 18.822371 Z -27.287800
X -25.543480 Y 18.834511 Z -27.346760
X -25.481831 Y 18.846800 Z -27.405590
X -25.420080 Y 18.859200 Z -27.464291
X -25.358231 Y 18.871740 Z -27.522860
X -25.296280 Y 18.884399 Z -27.581301
X -25.234221 Y 18.897200 Z -27.639610
X -25.172060 Y 18.910120 Z -27.697781
X -25.109800 Y 18.923180 Z -27.755819
X -25.047430 Y 18.936350 Z -27.813721
X -24.984949 Y 18.949671 Z -27.871481
X -24.922359 Y 18.963100 Z -27.929100
X -24.859671 Y 18.976660 Z -27.986580
X -24.796860 Y 18.990351 Z -28.043909
X -24.733940 Y 19.004160 Z -28.101110
X -24.670910 Y 19.018110 Z -28.158159
X -24.607759 Y 19.032181 Z -28.215059
X -24.544500 Y 19.046370 Z -28.271820
X -24.481131 Y 19.060690 Z -28.328421
X -24.417629 Y 19.075130 Z -28.384880
X -26.830740 Y 18.604940 Z -26.149950
X -26.770710 Y 18.614960 Z -26.210800
X -26.710550 Y 18.624901 Z -26.271500
X -26.650290 Y 18.634880 Z -26.332090
X -26.589951 Y 18.645000 Z -26.392570
X -26.529530 Y 18.655251 Z -26.452959
X -26.469021 Y 18.665630 Z -26.513241
X -26.408430 Y 18.676140 Z -26.573420
X -26.347750 Y 18.686790 Z -26.633490
X -26.286989 Y 18.697559 Z -26.693460
X -26.226139 Y 18.708460 Z -26.753321
X -26.165199 Y 18.719500 Z -26.813070
X -26.104170 Y 18.730659 Z -26.872709
X -26.043051 Y 18.741949 Z -26.932249
X -25.981831 Y 18.753380 Z -26.991671
X -25.920521 Y 18.764940 Z -27.050970
X -25.859119 Y 18.776609 Z -27.110170
X -25.797609 Y 18.788420 Z -27.169241
X -25.736019 Y 18.800360 Z -27.228201
X -25.674320 Y 18.812420 Z -27.287050
X -25.612511 Y 18.824610 Z -27.345770
X -25.550610 Y 18.836920 Z -27.404381
X -25.488600 Y 18.849369 Z -27.462860
X -25.426491 Y 18.861931 Z -27.521219
X -25.364269 Y 18.874630 Z -27.579470
X -25.301950 Y 18.887449 Z -27.637581
X -25.239510 Y 18.900391 Z -27.695580
X -25.176970 Y 18.913460 Z -27.753441
X -25.114309 Y 18.926649 Z -27.811180
X -25.051540 Y 18.939970 Z -27.868790
X -24.988661 Y 18.953400 Z -27.926270
X -24.925671 Y 18.966970 Z -27.983610
X -24.862560 Y 18.980659 Z -28.040819
X -24.799330 Y 18.994471 Z -28.097900
X -24.735991 Y 19.008400 Z -28.154850
X -24.672520 Y 19.022461 Z -28.211660
X -24.608940 Y 19.036640 Z -28.268320
X -24.545250 Y 19.050949 Z -28.324850
X -24.481449 Y 19.065430 Z -28.381241
X -24.417601 Y 19.080191 Z -28.437490
X -26.844080 Y 18.601191 Z -26.216730
X -26.783791 Y 18.611490 Z -26.277140
X -26.723360 Y 18.621719 Z -26.337370
X -26.662830 Y 18.632000 Z -26.397480
X -26.602209 Y 18.642410 Z -26.457491
X -26.541510 Y 18.652929 Z -26.517410
X -26.480730 Y 18.663589 Z -26.577230
X -26.419849 Y 18.674379 Z -26.636950
X -26.358891 Y 18.685301 Z -26.696581
X -26.297831 Y 18.696350 Z -26.756100
X -26.236679 Y 18.707520 Z -26.815519
X -26.175440 Y 18.718809 Z -26.874840
X -26.114111 Y 18.730240 Z -26.934059
X -26.052691 Y 18.741791 Z -26.993170
X -25.991159 Y 18.753460 Z -27.052170
X -25.929541 Y 18.765261 Z -27.111071
X -25.867809 Y 18.777180 Z -27.169861
X -25.805990 Y 18.789230 Z -27.228540
X -25.744061 Y 18.801399 Z -27.287109
X -25.682030 Y 18.813700 Z -27.345579
X -25.619890 Y 18.826111 Z -27.403931
X -25.557650 Y 18.838659 Z -27.462170
X -25.495291 Y 18.851320 Z -27.520290
X -25.432831 Y 18.864100 Z -27.578310
X -25.370251 Y 18.877010 Z -27.636209
X -25.307560 Y 18.890030 Z -27.693991
X -25.244761 Y 18.903191 Z -27.751659
X -25.181841 Y 18.916451 Z -27.809200
X -25.118799 Y 18.929840 Z -27.866631
X -25.055639 Y 18.943340 Z -27.923941
X -24.992359 Y 18.956970 Z -27.981131
X -24.928970 Y 18.970711 Z -28.038191
X -24.865450 Y 18.984579 Z -28.095119
X -24.801809 Y 18.998560 Z -28.151930
X -24.738050 Y 19.012671 Z -28.208620
X -24.674170 Y 19.026899 Z -28.265169
X -24.610170 Y 19.041260 Z -28.321590
X -24.546040 Y 19.055740 Z -28.377880
